"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period4-5Vio,Period4-5NonVio,Period4-5VForOp,Period4-5Senior,Period4-5Gun,Period4-5IED_C,Period4-5IED_P,Period4-5ForOp,Period4-5Rob
ZF421,0,0,0,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF424,0,0,99999,26,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF427,0,0,99999,22,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF429,0,0,0,29,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF432,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF434,0,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF443,0,0,99999,28,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF444,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF448,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF449,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF465,0,0,99999,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF468,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF471,0,0,99999,25,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0
ZF473,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF478,0,0,1,16,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1
ZF481,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF488,0,0,1,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF490,0,0,0,52,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF491,0,0,99999,35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF492,1,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF494,0,0,0,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF495,0,1,0,39,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
ZF498,0,0,0,26,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
ZF506,0,0,0,30,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF515,0,0,1,24,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
ZF519,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF52,0,0,99999,21,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF520,0,0,99999,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF524,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF526,0,1,99999,38,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
ZF528,0,0,99999,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF529,0,0,1,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZF536,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF541,0,0,99999,26,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
ZF545,0,0,99999,22,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ZF549,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF551,0,0,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF553,0,1,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF555,0,0,99999,17,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF56,0,0,99999,35,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF563,1,0,99999,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF572,0,0,99999,99999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF578,0,0,99999,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF579,0,1,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF586,0,0,0,18,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
ZF587,0,0,1,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF591,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF597,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF599,0,0,99999,30,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF602,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF603,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF606,0,0,99999,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF607,0,0,0,29,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF61,0,0,99999,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ZF610,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF612,0,0,99999,26,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF613,0,0,99999,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF615,0,0,99999,28,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
ZF622,1,0,99999,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF625,0,0,99999,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF63,0,0,99999,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF634,0,1,99999,56,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF643,0,0,99999,17,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF649,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF65,0,0,99999,29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF654,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF659,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF66,0,0,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF663,0,0,99999,39,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF665,0,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF667,0,0,99999,32,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF669,0,0,99999,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF675,0,0,99999,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF677,0,0,0,32,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF679,0,0,1,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF681,0,0,99999,44,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF687,1,0,0,22,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0
ZF691,0,0,99999,28,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF696,0,1,99999,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF697,0,1,0,27,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF699,0,0,99999,36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ZF700,0,0,0,27,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF707,0,0,99999,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF715,0,0,99999,20,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ZF717,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZF718,0,0,99999,17,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
ZF723,0,0,99999,34,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF724,0,0,1,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF728,0,0,99999,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF729,0,0,99999,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZF732,0,0,99999,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF739,0,0,0,23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF741,0,0,99999,29,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF742,0,0,99999,30,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ZF743,0,0,99999,28,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
ZF744,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF752,0,0,99999,26,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF755,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF758,0,0,99999,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF759,0,0,99999,30,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF769,0,0,99999,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
