"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Period1Vio,Period1NonVio,Period1VForOp,Period1Senior,Period1Gun,Period1IED_C,Period1IED_P,Period1ForOp,Period1Rob
ZF870,0,0,1,22,1,0,0,0,0,1,0,0,0,1,0,1,0,0
ZF872,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF873,0,0,99999,17,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF879,0,0,99999,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF881,0,0,99999,36,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ZF884,0,0,99999,18,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF889,0,0,1,17,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ZF893,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF894,0,0,0,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ZF896,0,0,99999,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF903,0,0,99999,19,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ZF922,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF923,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF924,0,0,1,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
